Date,F,ADS,ESCA,BGFV,NKE,PEP,TTWO
9/25/2020,6.51,42,17.05,5.95,124.23,133.55,165.78
9/28/2020,6.69,43.26,18.62,6.38,124.32,137.97,167.46
9/29/2020,6.6,42.82,18.48,6.44,126.35,137.16,164.34
9/30/2020,6.66,41.98,18.29,7.48,125.54,138.6,165.22
10/1/2020,6.75,43.44,19.28,7.85,126.64,140.8,166.11
10/2/2020,6.89,45.32,18.73,7.86,126.64,138.06,160.15
10/5/2020,7.02,46.92,19.93,7.99,127.91,137.93,164.76
10/6/2020,6.98,46,19.66,7.75,127.65,135.7,162.2
10/7/2020,7.23,46.77,20.06,8.52,130.06,137.01,160.96
10/8/2020,7.35,48.41,20.03,8.56,129.71,137.85,160.42
10/9/2020,7.25,48.62,19.92,8.1,130.98,138.44,161.64
10/12/2020,7.67,48.5,19.69,7.96,129.46,142.13,167.14
10/13/2020,7.76,50.06,19.95,8.3,129.2,143.54,169.16
10/14/2020,7.57,52.22,19.53,8.22,127.66,142.52,168.94
10/15/2020,7.62,52.66,19.75,8.69,129,141.43,168.03
10/16/2020,7.67,55,20.33,9.05,128,141.73,168.22
10/19/2020,7.59,54.23,20.79,8.89,127.43,139.68,165.53
10/20/2020,7.74,51.76,21.68,8.17,128.49,139.71,164.44
10/21/2020,7.85,48.61,21.39,8.26,129.43,139.6,164.55
10/22/2020,8.21,49.58,20.24,8.11,130.02,139.61,163.29
10/23/2020,8.16,48.61,20.63,8.21,129.99,139.56,164.43
10/26/2020,8.03,46.7,20.98,7.99,128.37,138.06,165.05
10/27/2020,7.92,45.04,20.03,8.12,127.99,139.12,167.36
10/28/2020,7.7,43.76,18.46,7.52,122.08,134.17,164.39
10/29/2020,7.9,52.04,20.02,7.39,122.86,133.99,162.77
10/30/2020,7.73,51.54,18.61,7.34,120.08,133.29,154.92
